LIBELLE;CYCLE;N° COMPTE;DOMICILIATION;GROUPE SCOLAIRE;COMMUNE;REGION;DREN;IEPP
ADOU BANGA JULES 1 2  EX MOSSIKRO ;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
AGNI 1;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
AGNI 2;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
AGNI 3;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
AGNI EXTENSION ;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
AGNIKRO RESIDENTIEL ;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
AKOIKRO;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
APPOISSO 2;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
APPOISSO APOUEBA;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
ASSIDJAN;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
BAD AGNI;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
BOSSEMATIE;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
DIBY N GUESSANKRO;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
EDOUKOUKRO;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
EECI ;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
GEOBETON AGNI;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
IRCC;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
KIRIFI;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
KOUAKOUKRO ;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
KOUASSI BENIEKRO;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
MATERNELLE AGNI 3;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
MATERNELLE AGNI EXTENSION;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
MATERNELLE AGNIKRO RESIDENTIEL;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
MATERNELLE KIRIFI;;;;;;;ABENGOUROU;ABENGOUROU CENTRE
